CIFAR100 Label,Related Terms
apple,edible fruit crab apple apple skin
aquarium_fish,aquarium_fish
baby,child blue baby family
bear,carnivore bear cub Ursidae bear
beaver,fur astrakhan
bed,bedroom furniture berth sleeping accommodation bedframe
bee,hymenopter drone superfamily Apoidea bee
beetle,insect tiger beetle order Coleoptera clypeus
bicycle,wheeled vehicle bicycle-built-for-two bicycle saddle
bottle,vessel beer bottle bottle bottlecap
bowl,vessel goldfish bowl stool base
boy,male altar boy male body
bridge,structure Bailey bridge transit arch
bus,public transport minibus fleet roof
butterfly,lepidopteran brush-footed butterfly order Lepidoptera
camel,artiodactyl dromedary genus Camelus camel
can,container beer can nose
castle,hall Buckingham Palace City of Westminster great hall
caterpillar,tracked vehicle Caterpillar track
cattle,bovine ox herd calf
chair,seat armchair seating back
chimpanzee,great ape Pan troglodytes verus Pan Pan troglodytes
clock,horologe alarm London clock dial
cloud,physical phenomenon coma comet
cockroach,dictyopterous insect Blatta orientalis suborder Blattaria roach
couch,seat sofa bed seating seat
crab,decapod stone crab suborder Brachyura stone crab
crocodile,crocodilian African crocodile genus Crocodilus crocodile
cup,dishware beaker grip
dinosaur,archosaur ornithischian subclass Archosauria
dolphin,percoid Coryphaena hippurus family Coryphaenidae dolphinfish
elephant,proboscidean rogue elephant family Elephantidae tusk
flatfish,saltwater fish flounder sole
forest,vegetation old growth biology underbrush
fox,solon elder statesman
girl,adult female belle adult female body
hamster,gnawer Cricetus cricetus genus Cricetus hamster
house,habitation beach house farm library
kangaroo,pouched mammal giant kangaroo family Macropodidae kangaroo
keyboard,device computer keyboard information processing system key
lamp,source of illumination Aladdin's lamp flash camera candlewick
lawn_mower,lawn_mower
leopard,fur astrakhan
lion,doer demon
lizard,saurian gecko Sauria
lobster,shellfish American lobster true lobster coral
man,male Adam posse adult male body
maple_tree,maple_tree
motorcycle,automotive vehicle minibike bicycle kickstand
mountain,elevation alp mount mountain peak
mouse,gnawer house mouse order Rodentia
mushroom,agaric mushroom order Agaricales
oak_tree,oak_tree
orange,citrous fruit temple orange orange orange peel
orchid,flower orchis Orchidaceae mentum
otter,fur astrakhan
palm_tree,palm_tree
pear,edible fruit bosc pear skin
pickup_truck,pickup_truck
pine_tree,pine_tree
plain,ground flat globe Serengeti National Park
plate,base first base diamond
poppy,flower Iceland poppy Papaveraceae poppy seed
porcupine,gnawer Old World porcupine order Rodentia quill
possum,pouched mammal Didelphis marsupialis Didelphidae opossum
rabbit,leporid rabbit ears warren scut
raccoon,fur astrakhan
ray,light heat ray electromagnetic spectrum
road,way slip road transit bend
rocket,vehicle missile rocket rocket
rose,bush Rosa pendulina genus Rosa hip
sea,water Adriatic hydrosphere bay
seal,holdfast bellyband seal lac
shark,selachian six-gilled shark Selachii
shrew,disagreeable woman virago
skunk,disagreeable person annoyance
skyscraper,building Empire State Building Greater New York annex
snail,gastropod scorpion shell Gasteropoda snail
snake,diapsid colubrid Serpentes serpent
spider,arachnoid orb-weaving spider order Araneae spider
squirrel,gnawer tree squirrel Sciuridae squirrel
streetcar,self-propelled vehicle horsecar trolley line streetcar
sunflower,flower swamp sunflower genus Helianthus sunflower seed
sweet_pepper,sweet_pepper
table,array table of contents publication row
tank,military vehicle panzer tank cannon
telephone,electronic equipment desk phone telephone system mouthpiece
television,broadcasting cable television picture
tiger,doer demon
tractor,self-propelled vehicle bulldozer
train,public transport boat train transit railcar
trout,fish rainbow trout rainbow trout
tulip,liliaceous plant dwarf tulip genus Tulipa tulip
turtle,sweater mock polo neck turtle turtleneck collar
wardrobe,piece of furniture armoire
whale,large person butterball
willow_tree,willow_tree
wolf,composer contrapuntist
woman,female Eve wedding adult female body
worm,invertebrate helminth Trematoda foot
